date,HillaryClinton,realDonaldTrump
2016-10-09 20:00:00,2685,5743
2016-10-09 20:05:00,4466,7545
2016-10-09 20:10:00,4503,7425
2016-10-09 20:15:00,8086,6950
2016-10-09 20:20:00,7513,7836
2016-10-09 20:25:00,6076,10923
2016-10-09 20:30:00,8304,9317
2016-10-09 20:35:00,8442,8957
2016-10-09 20:40:00,7552,8428
2016-10-09 20:45:00,6544,7872
2016-10-09 20:50:00,6337,7738
2016-10-09 20:55:00,8376,7176
2016-10-09 21:00:00,9974,8505
2016-10-09 21:05:00,15414,11220
2016-10-09 21:10:00,17272,41495
2016-10-09 21:15:00,24662,41322
2016-10-09 21:20:00,32188,37209
2016-10-09 21:25:00,31771,44821
2016-10-09 21:30:00,32617,56884
2016-10-09 21:35:00,27837,50424
2016-10-09 21:40:00,32814,48106
2016-10-09 21:45:00,31271,48339
2016-10-09 21:50:00,28947,50356
2016-10-09 21:55:00,32494,48526
2016-10-09 22:00:00,36410,53638
2016-10-09 22:05:00,31575,45449
2016-10-09 22:10:00,23783,55053
2016-10-09 22:15:00,29923,52750
2016-10-09 22:20:00,33922,51031
2016-10-09 22:25:00,32716,46501
2016-10-09 22:30:00,31061,44280
2016-10-09 22:35:00,29848,31557
2016-10-09 22:40:00,29746,31625
2016-10-09 22:45:00,23418,33617
2016-10-09 22:50:00,21423,34811
2016-10-09 22:55:00,19975,34454
2016-10-09 23:00:00,16950,31089
2016-10-09 23:05:00,15616,27320
2016-10-09 23:10:00,14402,24036
2016-10-09 23:15:00,13137,22181
2016-10-09 23:20:00,13092,21737
2016-10-09 23:25:00,11816,19269
2016-10-09 23:30:00,10496,16601
2016-10-09 23:35:00,9592,15670
2016-10-09 23:40:00,10490,16876
2016-10-09 23:45:00,12630,15968
2016-10-09 23:50:00,11129,15751
2016-10-09 23:55:00,9462,13900
2016-10-10 00:00:00,8089,12608
2016-10-10 00:05:00,8502,11366
2016-10-10 00:10:00,7642,11206
2016-10-10 00:15:00,7346,11055
2016-10-10 00:20:00,6685,9902
2016-10-10 00:25:00,6121,9625
2016-10-10 00:30:00,6371,9655
2016-10-10 00:35:00,5922,8898
2016-10-10 00:40:00,5658,8483
2016-10-10 00:45:00,5399,8173
2016-10-10 00:50:00,4997,7435
2016-10-10 00:55:00,4863,6956
2016-10-10 01:00:00,4200,6346
2016-10-10 01:05:00,4008,5968
2016-10-10 01:10:00,3793,5762
2016-10-10 01:15:00,3862,5740
2016-10-10 01:20:00,3745,5602
2016-10-10 01:25:00,3548,5445
